Microsoft (R) COFF/PE Dumper Version 14.00.23026.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file ntdll-10.0.10586.20-x64.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    56540808 time date stamp Tue Nov 24 01:47:36 2015
        0.00 version
           8 ordinal base
        2230 number of functions
        2229 number of names

    ordinal hint RVA      name

          9    0 00062D40 A_SHAFinal = A_SHAFinal
         10    1 00062E80 A_SHAInit = A_SHAInit
         11    2 00062EC0 A_SHAUpdate = A_SHAUpdate
         12    3 0006BA40 AlpcAdjustCompletionListConcurrencyCount = AlpcAdjustCompletionListConcurrencyCount
         13    4 00071210 AlpcFreeCompletionListMessage = AlpcFreeCompletionListMessage
         14    5 000D2F30 AlpcGetCompletionListLastMessageInformation = AlpcGetCompletionListLastMessageInformation
         15    6 000D2F50 AlpcGetCompletionListMessageAttributes = AlpcGetCompletionListMessageAttributes
         16    7 00075C80 AlpcGetHeaderSize = AlpcGetHeaderSize
         17    8 00075C40 AlpcGetMessageAttribute = AlpcGetMessageAttribute
         18    9 0002EF80 AlpcGetMessageFromCompletionList = AlpcGetMessageFromCompletionList
         19    A 00085DD0 AlpcGetOutstandingCompletionListMessageCount = AlpcGetOutstandingCompletionListMessageCount
         20    B 00075BE0 AlpcInitializeMessageAttribute = AlpcInitializeMessageAttribute
         21    C 00083E60 AlpcMaxAllowedMessageLength = AlpcMaxAllowedMessageLength
         22    D 00085250 AlpcRegisterCompletionList = AlpcRegisterCompletionList
         23    E 000728B0 AlpcRegisterCompletionListWorkerThread = AlpcRegisterCompletionListWorkerThread
         24    F 000861A0 AlpcRundownCompletionList = AlpcRundownCompletionList
         25   10 00085FF0 AlpcUnregisterCompletionList = AlpcUnregisterCompletionList
         26   11 00072850 AlpcUnregisterCompletionListWorkerThread = AlpcUnregisterCompletionListWorkerThread
         27   12 00011DE0 ApiSetQueryApiSetPresence = ApiSetQueryApiSetPresence
         28   13 00051820 CsrAllocateCaptureBuffer = CsrAllocateCaptureBuffer
         29   14 000517E0 CsrAllocateMessagePointer = CsrAllocateMessagePointer
         30   15 000515A0 CsrCaptureMessageBuffer = CsrCaptureMessageBuffer
         31   16 00051600 CsrCaptureMessageMultiUnicodeStringsInPlace = CsrCaptureMessageMultiUnicodeStringsInPlace
         32   17 00051720 CsrCaptureMessageString = CsrCaptureMessageString
         33   18 000C7910 CsrCaptureTimeout = CsrCaptureTimeout
         34   19 00051420 CsrClientCallServer = CsrClientCallServer
         35   1A 00051BA0 CsrClientConnectToServer = CsrClientConnectToServer
         36   1B 000513F0 CsrFreeCaptureBuffer = CsrFreeCaptureBuffer
         37   1C 000C7930 CsrGetProcessId = CsrGetProcessId
         38   1D 000820F0 CsrIdentifyAlertableThread = CsrIdentifyAlertableThread
         39   1E 000CB2E0 CsrSetPriorityClass = CsrSetPriorityClass
         40   1F 000C7950 CsrVerifyRegion = CsrVerifyRegion
         41   20 000A8570 DbgBreakPoint = DbgBreakPoint
         42   21 00049600 DbgPrint = DbgPrint
         43   22 00048FA0 DbgPrintEx = DbgPrintEx
